i, t, y, v
485, 2.425000, 2.909633, -1.703040
486, 2.430000, 2.901118, -1.698076
487, 2.435000, 2.892627, -1.693125
488, 2.440000, 2.884162, -1.688189
489, 2.445000, 2.875721, -1.683267
490, 2.450000, 2.867304, -1.678359
491, 2.455000, 2.858913, -1.673465
492, 2.460000, 2.850545, -1.668584
493, 2.465000, 2.842202, -1.663718
494, 2.470000, 2.833884, -1.658866
495, 2.475000, 2.825589, -1.654027
496, 2.480000, 2.817319, -1.649203
497, 2.485000, 2.809073, -1.644392
498, 2.490000, 2.800851, -1.639595
499, 2.495000, 2.792653, -1.634811
500, 2.500000, 2.784479, -1.630042
501, 2.505000, 2.776329, -1.625286
502, 2.510000, 2.768203, -1.620543
503, 2.515000, 2.760100, -1.615814
504, 2.520000, 2.752021, -1.611099
505, 2.525000, 2.743965, -1.606397
506, 2.530000, 2.735933, -1.601709
507, 2.535000, 2.727925, -1.597034
508, 2.540000, 2.719940, -1.592373
509, 2.545000, 2.711978, -1.587725
510, 2.550000, 2.704039, -1.583090
511, 2.555000, 2.696124, -1.578469
512, 2.560000, 2.688231, -1.573860
513, 2.565000, 2.680362, -1.569265
514, 2.570000, 2.672516, -1.564684
515, 2.575000, 2.664692, -1.560115
516, 2.580000, 2.656892, -1.555560
517, 2.585000, 2.649114, -1.551018
518, 2.590000, 2.641359, -1.546488
519, 2.595000, 2.633626, -1.541972
520, 2.600000, 2.625917, -1.537469
521, 2.605000, 2.618229, -1.532979
522, 2.610000, 2.610564, -1.528502
523, 2.615000, 2.602922, -1.524037
524, 2.620000, 2.595302, -1.519586
525, 2.625000, 2.587704, -1.515147
526, 2.630000, 2.580128, -1.510721
527, 2.635000, 2.572574, -1.506308
528, 2.640000, 2.565043, -1.501907
529, 2.645000, 2.557533, -1.497520
530, 2.650000, 2.550046, -1.493145
531, 2.655000, 2.542580, -1.488782
532, 2.660000, 2.535136, -1.484432
533, 2.665000, 2.527714, -1.480095
534, 2.670000, 2.520313, -1.475770
535, 2.675000, 2.512935, -1.471458
536, 2.680000, 2.505577, -1.467158
537, 2.685000, 2.498241, -1.462871
538, 2.690000, 2.490927, -1.458596
539, 2.695000, 2.483634, -1.454333
540, 2.700000, 2.476362, -1.450083
541, 2.705000, 2.469112, -1.445845
542, 2.710000, 2.461883, -1.441619
543, 2.715000, 2.454675, -1.437406
544, 2.720000, 2.447488, -1.433204
545, 2.725000, 2.440322, -1.429015
546, 2.730000, 2.433177, -1.424838
547, 2.735000, 2.426052, -1.420673
548, 2.740000, 2.418949, -1.416520
549, 2.745000, 2.411866, -1.412379
550, 2.750000, 2.404805, -1.408250
